neighbourhood,listings,dwellings
Banyule,201,53025
Bayside,401,43103
Boroondara,589,72812
Brimbank,258,71875
Cardinia,186,43535
Casey,234,122669
Darebin,551,68366
Frankston,263,58888
Glen Eira,558,66233
Greater Dandenong,172,58051
Hobsons Bay,267,39330
Hume,207,83977
Kingston,363,67617
Knox,172,62011
Manningham,227,49918
Maribyrnong,515,40502
Maroondah,117,46933
Melbourne,7280,103040
Melton,157,60338
Monash,591,76461
Moonee Valley,353,55057
Moreland,942,78226
Nillumbik,103,22389
Port Phillip,2742,63299
Stonnington,1517,59607
Whitehorse,583,71716
Whittlesea,172,82985
Wyndham,576,100366
Yarra,1776,50057
Yarra Ranges,1112,61570
